ID,English,Persian (fas),Mandarin (cmn),Hindi (hin),Spanish (spa),French (fra),Arabic (ara),Bengali (ben),Portuguese (por),Russian (rus),Urdu (urd),Indonesian (ind),German (deu),Japanese (jpn),Swahili (swa),Marathi (mar),Telugu (tel),Turkish (tur),Korean (kor),Italian (ita)
1,a,یک,一 (yī),एक (ek),un; una,un; une,نَكِرَةٌ (علامة),একটি (ekti),um; uma,англ. артикль a/an,ایک (aik),sebuah,ein; eine,英語の不定冠詞a,-,एक (ek),ఒక (oka),bir,하나의 (hanaui),un; una
2,a.m.,قبل از ظهر,上午 (shàngwǔ),सुबह (subah),a.m.,du matin,صباحاً (ṣabāḥan),সকাল (sokal),a.m.,до полудня,صبح (subah),pagi,vormittags,午前 (gozen),asubuhi,सकाळी (sakali),ఉదయం (udayam),ÖÖ (öğleden önce),오전 (ojeon),del mattino
3,abandon,رها کردن; ترک کردن,放弃 (fàngqì),छोड़ देना (chhod dena),abandonar,abandonner,يتخلى عن (yatakhalā ʿan),পরিত্যাগ করা (porityag kora),abandonar,оставлять; покидать,ترک کرنا (tark karna),meninggalkan,verlassen; aufgeben,諦める (akirameru); 捨てる (suteru),kuacha,सोडून देणे (soḍūn deṇe),వదిలివేయడం (vadilivēyaḍaṁ),terk etmek; vazgeçmek,버리다; 포기하다 (beorida; pogihada),abbandonare
4,abandoned,متروکه; رها شده,被遗弃的 (bèi yíqì de),त्यागा हुआ (tyāgā huā),abandonado,abandonné,مهجور (mahjūr),পরিত্যক্ত (porityakto),abandonado,заброшенный,متروک (matrūk),terbengkalai,verlassen,見捨てられた (misuterareta),yaliyotelekezwa,निर्जन (nirjan),పాడుబడిన (pāḍubaḍina),terk edilmiş,버려진 (beoryeojin),abbandonato
5,aberration,انحراف; ناهنجاری,偏差 (piānchā),विपथन (vipathan),aberración,aberration,انحراف (inḥirāf),বিপথগমন (bipothogomon),aberração,аберрация; отклонение,انحراف (inhiraf),aberasi,Abweichung; Anomalie,異常 (ijō); 逸脱 (itsudatsu),upotovu,विपथन (vipathan),అసాధారణత (asādhāraṇata),sapma; anormallik,수차; 탈선 (sucha; talseon),aberrazione
6,abhor,بیزار بودن; تنفر داشتن,憎恶 (zēngwù),घृणा करना (ghṛṇā karnā),aborrecer,abhorrer,يكره بشدة (yakrah bishiddah),ঘৃণা করা (ghrina kora),abominar,ненавидеть; питать отвращение,نفرت کرنا (nafrat karna),membenci,verabscheuen,嫌悪する (ken'o suru),kuchukia,तिरस्कार करणे (tiraskār karṇe),అసహ్యించుకొను (asahyin̄cukonu),iğrenmek; nefret etmek,혐오하다 (hyeomohada),aborrire
7,abhorrent,نفرت‌انگیز; زننده,可憎的 (kězēng de),घृणित (ghṛṇit),aborrecible,exécrable,بغيض (baghīḍ),জঘন্য (joghonyo),abominável,отвратительный,قابل نفرت (qābil-e-nafrat),mengerikan,abscheulich,忌まわしい (imawashii),kinachochukiza,तिरस्करणीय (tiraskarṇīya),అసహ్యకరమైన (asahyakaramaina),iğrenç; menfur,혐오스러운 (hyeomoseureoun),abominevole
8,abhorrently,به طور نفرت‌انگیز,可憎地 (kězēng de),घृणित रूप से (ghṛṇit rūp se),de manera abominable,de façon exécrable,بشكل بغيض (bishakl baghīḍ),জঘন্যভাবে (joghonyobhabe),abominavelmente,отвратительно,نفرت انگیزی سے (nafrat angezī se),secara mengerikan,abscheulicherweise,忌まわしく (imawashiku),kwa njia ya kuchukiza,तिरस्करणीयपणे (tiraskarṇīyapaṇe),అసహ్యంగా (asahyaṅgā),iğrenç bir şekilde,혐오스럽게 (hyeomoseureopge),in modo abominevole
9,ability,توانایی; قابلیت,能力 (nénglì),योग्यता (yogyatā),habilidad,capacité,قدرة (qudrah),ক্ষমতা (khomota),habilidade,способность,صلاحیت (salahiyat),kemampuan,Fähigkeit,能力 (nōryoku),uwezo,क्षमता (kṣamatā),సామర్థ్యం (sāmarthyaṁ),yetenek; kabiliyet,능력 (neungnyeok),abilità; capacità
10,abject,نکبت‌بار; بسیار بدبخت,卑鄙的 (bēibǐ de),अधम (adham),abyecto,abject,بائس; حقير (bāʾis; ḥaqīr),শোচনীয় (shochoniyo),abjeto,жалкий; презренный,قابل رحم (qābil-e-reham),hina,elend; jämmerlich,惨めな (mijimena),-nyonge,अत्यंत दीन (atyant dīn),నీచమైన (nīcamaina),sefil; alçak,비참한 (bichamhan),abietto; miserabile
11,able,توانا; قادر,能够 (nénggòu),सक्षम (saksham),capaz,capable,قادر (qādir),সক্ষম (sokhom),capaz,способный,قابل (qābil),mampu,fähig; in der Lage,できる (dekiru),mwenye uwezo,सक्षम (sakṣam),సామర్థ్యం గల (sāmarthyaṁ gala),yapabilen; muktedir,할 수 있는 (hal su issneun),capace
12,abnormal,غیر طبیعی; ناهنجار,异常的 (yìcháng de),असामान्य (asāmānya),anormal,anormal,غير طبيعي (ghayr ṭabīʿī),অস্বাভাবিক (ôshabhabik),anormal,аномальный,غیر معمولی (ghair ma'amuli),abnormal,anormal,異常な (ijōna),isiyo ya kawaida,असामान्य (asāmānya),అసాధారణ (asādhāraṇa),anormal; olağandışı,비정상적인 (bijeongsangjeog-in),anormale
13,abnormally,به طور غیر طبیعی,异常地 (yìcháng de),असामान्य रूप से (asāmānya rūp se),anormalmente,anormalement,بشكل غير طبيعي (bishakl ghayr ṭabīʿī),অস্বাভাবিকভাবে (ôshabhabikbhabe),anormalmente,аномально,غیر معمولی طور پر (ghair ma'amuli taur par),secara abnormal,anormal,異常に (ijōni),isivyo kawaida,असामान्यपणे (asāmānyapaṇe),అసాధారణంగా (asādhāraṇaṅgā),anormal bir şekilde,비정상적으로 (bijeongsangjeog-eulo),anormalmente
14,aboard,سوار بر,在船上 (zài chuánshàng),सवार (savār),a bordo,à bord,على متن (ʿalā matn),জাহাজে (jahaje),a bordo,на борту,سوار (sawār),di atas kapal,an Bord,乗って (notte),kwenye chombo,जहाजावर (jahājāvar),ఓడలో (ōḍalō),gemide; uçakta,탑승한 (tabseunghan),a bordo
